price,area,bedrooms,bathrooms,location,city,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,property_url
6.5 Crore,11 Marla,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_beautiful_corner_house_for_sale_11_marla_sector_c1_bahria_enclave-54198973-11987-1.html
14.5 Crore,1 Kanal,7 Beds,-,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,2,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_ultra_luxury_designer_house_for_sale_in_dha_phase_2_islamabad_7_master_bedrooms_prime_location_near_central_park_dha_phase_2_islamabad_expressway_elegant_living_double_kitchens_servant_accommodation_parking_for_3-54115123-339-1.html
9.25 Crore,10 Marla,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,03,02,1,3,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_buying_a_house_in_dha_defence_phase_5_islamabad-53925522-10991-1.html
13.85 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_modern_house_for_sale_in_dha_phase_2_front_of_central_park_near_giga_mall_prime_location-54129514-339-1.html
46 Crore,3 Kanal,10 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,3,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_3_kanal_ultra_luxury_fully_furnished_mansion_for_sale_in_dha_phase_2_islamabad-54253565-339-1.html
3.8 Crore,10 Marla,4 Beds,4 Baths,"Kashmir Highway, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/kashmir_highway_eighteen_10_marla_luxury_premium_villa_in_eighteen_islamabad_available_for_sale-54155476-12602-1.html
5 Crore,1.3 Kanal,5 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,26,1,1,1,https://www.zameen.com/Property/islamabad_bani_gala_ideal_house_is_available_for_sale_in_bani_gala-50367010-340-1.html
3.75 Crore,4 Marla,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/islamabad_g-13_corner_25x40_house_g-13_islamabad-54158101-330-1.html
9.3 Crore,14 Marla,8 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/g_14_g-14_4_highly-desirable_prime_location_house_available_in_g-14_4_for_sale-53611689-3346-1.html
30 Crore,1.3 Kanal,9 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/f_11_f-11_2_f-11_2_brand_new_666_yards_fully-furnished_house_high-end_construction_9_bedrooms_full_basement_unparalleled_luxury_and_sophistication_price_30_crores-52722809-3283-1.html
12.75 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54150609-339-1.html
10.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_in_dha_defence_phase_2_1_kanal_house_for_sale-52510497-339-1.html
4 Crore,7 Marla,4 Beds,5 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,,1,,1,1,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_masterpiece_living_the_finest_07_marla_designer_villa_in_jinnah_garden_islamabad-54190631-1421-1.html
